Games Played,Character,Cause of Death,Ascension,Win,Number of Cards
1,Ironclad,Guardian,0,No,
2,Ironclad,Awakened One,0,No,39
3,Ironclad,Gremlin Nob,0,No,
4,Silent,Shelled Parasite,0,No,
5,Ironclad,,0,Yes,33
6,Defect,Exordium Thugs,0,No,
7,Defect,Nemesis,0,No,
8,Silent,Gremlin Nob,0,No,
9,Silent,Sentry and Spheric Guardian,0,No,
10,Defect,,0,Yes,38
11,Watcher,Gang of Gremlins,0,No,
12,Silent,Chosen and Cultist,0,No,
13,Silent,,0,Yes,44
14,Watcher,Bronze Automaton,0,No,
15,Watcher,Awakened One,0,No,35
16,Ironclad,Hexaghost,0,No,
17,Defect,Parasite and Fungi Beast,0,No,
18,Defect,Heart,0,No,31
19,Defect,Heart,0,Yes,38
20,Defect,Book of Stabbing,0,No,
21,Defect,Collector,0,No,
22,Defect,Fungi Beast,0,No,
23,Defect,Gremlin Leader,0,No,
24,Defect,Heart,0,No,24
25,Silent,,0,Yes,42
26,Silent,Sentries,1,No,
27,Silent,Lagavulin,1,No,
28,Silent,Snake Plant,1,No,
29,Silent,Heart,1,No,42
30,Silent,Swarm of Slimes,2,No,
31,Silent,Lagavulin,2,No,
32,Silent,,2,No,38
33,Silent,Sentries,3,No,
34,Ironclad,Shield and Spear,1,No,36
35,Ironclad,,2,Yes,47
36,Defect,,1,Yes,42
37,Defect,Book of Stabbing,2,No,
38,Ironclad,,3,Yes,39
39,Ironclad,Sentries,4,No,
40,Ironclad,Heart,4,No,35
41,Silent,Gang of Gremlins,3,No,
42,Silent,Slime Boss,3,No,
43,Silent,Heart,3,No,32
44,Ironclad,Taskmaster,5,No,
45,Ironclad,Taskmaster,5,No,
46,Ironclad,Gremlin Nob,5,No,
47,Silent,Heart,3,No,46
48,Silent,Book of Stabbing,4,No,
49,Silent,Guardian,4,No,
50,Silent,Gremlin Leader,4,No,
51,Silent,FF,4,No,37
52,Silent,Champ,4,No,
53,Silent,Bronze Automaton,4,No,
54,Silent,Lagavulin,4,No,
55,Silent,Champ,4,No,
56,Silent,Collector,4,No,
57,Ironclad,Sentries,5,No,
58,Ironclad,Sentries,5,No,
59,Silent,Time Eater,4,No,37
60,Silent,Lagavulin,4,No,
61,Silent,,4,Yes,38
62,Ironclad,Heart,5,No,36
63,Ironclad,Sentries,5,No,
64,Ironclad,Hexaghost,5,No,
65,Silent,Gremlin Leader,5,No,
66,Silent,Slime Boss,5,No,
67,Silent,Heart,5,No,36
68,Defect,Gremlin Nob,2,No,
69,Defect,,2,Yes,31
70,Defect,Book of Stabbing,3,No,
71,Defect,Heart,3,No,42
72,Silent,Shield and Spear,5,No,35
73,Silent,Lagavulin,6,No,
74,Silent,Sentry and Spheric Guardian,6,No,
75,Silent,Gremlin Leader,6,No,
76,Silent,Gremlin Nob,6,No,
77,Silent,Lagavulin,6,No,
78,Silent,Lagavulin,6,No,
79,Silent,Parasite and Fungi Beast,6,No,
80,Silent,Lagavulin,6,No,
81,Silent,Gremlin Leader,6,No,
82,Silent,Slime Boss,6,No,
83,Defect,Heart,3,No,38
84,Defect,Hexaghost,3,No,
85,Defect,Gremlin Nob,3,No,
86,Defect,Sentries,3,No,
87,Defect,Spear and Shield,3,No,49
88,Defect,Taskmaster,4,No,
89,Defect,Gremlin Nob,4,No,
90,Defect,Gremlin Leader,4,No,
91,Defect,Gremlin Nob,4,No,
92,Defect,Taskmaster,4,No,
93,Defect,Taskmaster,4,No,
94,Defect,Taskmaster,4,No,
95,Defect,Gremlin Nob,4,No,
96,Defect,,4,Yes,29
97,Defect,Gaurdian,5,No,
98,Defect,Gremlin Nob,5,No,
99,Silent,Heart,6,No,37
100,Silent,Heart,7,No,32
101,Ironclad,Hexaghost,5,No,
102,Ironclad,,5,Yes,38
103,Ironclad,Gremlin Leader,5,No,
104,Silent,Champ,8,No,
105,Silent,Heart,8,No,42
106,Silent,FF,9,No,
107,Silent,,9,Yes,32
108,Silent,FF,10,No,
109,Silent,Book of Stabbing,10,No,
110,Silent,Hexaghost,10,No,
111,Silent,Centurion and Mystic,10,No,
112,Silent,FF,10,No,
113,Silent,Taskmaster,10,No,
114,Defect,,5,Yes,33
115,Silent,Guardian,10,No,
116,Silent,Collector,10,No,
117,Silent,Lagavulin,10,No,
118,Silent,Collector,10,No,
119,Silent,Slime Boss,10,No,
120,Silent,Heart,10,No,42
121,Silent,,11,Yes,41
122,Silent,FF,12,No,
123,Silent,Time Eater,12,No,26
124,Silent,Snake Plant,12,No,
125,Silent,Champ,12,No,
126,Silent,Gremlin Leader,12,No,
127,Silent,Slime Boss,12,No,
128,Silent,Hexaghost,12,No,
129,Silent,,12,Yes,39
130,Silent,Gang of Gremlins,13,No,
131,Silent,Chosen and Cultist,13,No,
132,Silent,Lagavulin,13,No,
133,Silent,Gremlin Leader,13,No,
134,Silent,Lagavulin,13,No,
135,Silent,Chosen Flock,13,No,
136,Silent,Slime Boss,13,No,
137,Silent,Heart,13,No,39
138,Silent,Awakened One,14,No,37
139,Silent,Slime Boss,14,No,
140,Silent,Heart,14,No,42
141,Silent,FF,15,No,
142,Silent,Hexaghost,15,No,
143,Silent,Lagavulin,15,No,
144,Silent,Sentries,15,No,
145,Silent,Guardian,15,No,
146,Silent,Snecko,15,No,
147,Silent,Taskmaster,15,No,
148,Silent,Sentries,15,No,
149,Silent,Slime Boss,15,No,
150,Silent,Exordium Thugs,15,No,
151,Silent,Slime Boss,15,No,
152,Silent,Sentries,15,No,
153,Silent,Heart,15,No,24
154,Silent,Gremlin Nob,16,No,
155,Silent,Hexaghost,16,No,
